epoch,accuracy,loss,val_accuracy,val_loss
0,0.8238625526428223,0.46231186389923096,0.3448006212711334,1.5857419967651367
1,0.8388986587524414,0.4174190163612366,0.34167319536209106,1.377713680267334
2,0.853348970413208,0.38717710971832275,0.5504299998283386,0.9975956082344055
3,0.8535442352294922,0.37141743302345276,0.7099296450614929,0.6997490525245667
4,0.8726811408996582,0.33574166893959045,0.6637998223304749,0.8805994987487793
5,0.8771724104881287,0.31994664669036865,0.7412040829658508,0.6997275352478027
6,0.8722905516624451,0.31914058327674866,0.7310398817062378,0.7455105781555176
7,0.8879125118255615,0.29071709513664246,0.8256450295448303,0.4533176124095917
8,0.8820542693138123,0.2982214391231537,0.7451133728027344,0.7274656891822815
9,0.8906463384628296,0.2882712781429291,0.6716184616088867,0.8163621425628662
10,0.8914274573326111,0.2834075689315796,0.8123533725738525,0.48529934883117676
11,0.8908416032791138,0.27304568886756897,0.8530101776123047,0.3985694348812103
12,0.8881077766418457,0.27978163957595825,0.7052384614944458,0.7722004055976868
13,0.896699845790863,0.26831525564193726,0.769351065158844,0.6006910800933838
14,0.895332932472229,0.2803105115890503,0.8569194674491882,0.4000574052333832
